"","longitude","latitude","k3","k4","k5","k6"
"3",69.186465,28.636116,1,1,1,1
"40",71.544814,34.004345,1,1,1,1
"116",67.018009,30.209423,2,2,2,2
"117",66.999967,24.916689,2,2,2,2
"126",71.477429,34.565494,1,1,1,1
"234",71.383411,34.000016,1,1,1,1
"265",65.095779,28.490733,1,1,1,1
"271",62.720616,26.367809,2,3,3,3
"335",70.90953,31.823676,3,4,4,4
"412",71.55552,34.217183,2,2,2,2
"433",71.39393,30.18376,2,2,2,2
"438",72.121717,34.000659,3,4,4,4
"584",66.515608,30.104113,2,3,5,5
"586",67.018009,30.209423,2,3,5,5
"597",69.186547,28.635636,2,3,5,5
"621",69.186547,28.635636,1,1,1,1
"701",67.033375,24.933254,2,3,5,5
"704",67.018388,30.209078,2,2,2,2
"706",71.558325,33.794627,2,2,2,2
"707",71.46633,33.96125,1,1,1,6
"716",67.4232,30.05798,2,3,3,3
"717",67.4232,30.05798,2,3,3,3
"725",67.4232,30.05798,2,3,5,5
"738",70.336254,33.700174,2,2,2,2
"739",70.749556,32.407113,2,3,3,3
"757",71.468525,33.971417,1,1,1,6
"758",67.028061,24.893379,2,3,5,5
"767",69.859741,32.667476,1,1,1,6
"812",70.336254,33.700174,2,3,3,3
"935",68.216667,28.55,1,1,1,6
"949",63.014758,26.156056,2,3,5,5
"954",65.095779,28.490733,2,3,5,5
"964",71.383333,34,1,1,1,6
"973",71.477429,34.565494,2,3,5,5
"978",71.874921,35.19766,3,4,4,4
"994",70.100833,33.899167,3,4,4,4
"1010",69.15,29.033333,1,1,1,6
"1018",69.859741,32.667476,1,1,1,6
"1019",69.859741,32.667476,2,3,5,5
"1107",71.551622,33.968178,1,1,1,6
"1134",71.54483,34.004299,3,4,4,4
"1153",68.274306,25.416868,1,1,1,6
"1160",69.55201,28.019567,1,1,1,6
"1161",68.323494,25.378033,1,1,1,6
"1162",68.403381,26.239479,1,1,1,6
"1163",68.936897,26.04418,1,1,1,6
"1164",68.119278,26.841,1,1,1,6
"1165",68.743559,27.527306,1,1,1,6
"1166",69.316667,28.016667,1,1,1,6
"1167",67.339071,24.84477,1,1,1,6
"1168",67.339071,24.84477,1,1,1,6
"1169",68.848587,27.6908,1,1,1,6
"1170",68.403381,26.239479,1,1,1,6
"1192",69.093531,29.140415,1,1,1,6
"1200",71.999817,34.006649,1,1,1,6
"1232",73.625473,35.450276,2,3,5,5
"1280",71.5448,34.004274,2,3,5,5
"1305",70.676944,33.8125,3,4,4,4
"1306",70.676944,33.8125,2,3,5,5
"1327",69.095774,29.142918,1,1,1,1
"1330",71.735939,34.150928,3,4,4,4
"1365",70.9095,31.823759,3,4,4,4
"1436",70.914772,32.601768,2,2,2,2
"1474",69.813889,32.964722,2,3,3,3
"1487",70.961944,33.747778,3,4,4,4
"1503",70.775759,33.640689,2,3,5,5
"1513",71.516667,34.483333,1,1,1,1
"1514",71.561111,33.923611,3,4,4,4
"1566",70.117119,32.335121,1,1,1,1
"1567",70.117119,32.335121,1,1,1,1
"1579",71.623948,34.920942,1,1,1,1
"1594",71.5448,34.004274,3,4,4,4
"1635",69.83,32.568611,2,3,5,5
"1643",69.149945,29.033559,2,3,5,5
"1777",70.775759,33.640689,2,3,3,3
"1778",70.847724,33.825361,3,4,4,4
"1779",68.208122,27.55788,1,1,1,1
"1780",69.700613,31.830625,2,2,2,2
"1869",66.849889,29.800158,2,3,5,5
"1873",67.018137,30.209304,2,3,5,5
"1936",69.095774,29.142918,1,1,1,1
"1949",71.480221,34.567793,2,2,2,2
"2035",67.195278,24.893056,3,4,4,4
"2106",67.018137,30.209304,2,3,5,5
"2206",67.018137,30.209304,2,3,5,5
"2211",67.018137,30.209304,2,3,5,5
"2212",67.018137,30.209304,2,3,5,5
"2257",71.236667,34.343333,2,3,5,5
"2258",71.35116,34.463847,2,3,5,5
"2269",69.83,32.568612,2,3,5,5
"2281",67.018137,30.209304,2,3,5,5
"2282",67.018137,30.209304,2,3,5,5
"2393",71.383252,34.00012,1,1,1,1
"2440",69.054746,28.95882,1,1,1,1
"2461",74.340683,31.54505,1,1,1,1
"2470",69.095774,29.142918,1,1,1,1
"2656",71.486321,33.936477,2,3,5,5
"2657",67.018137,30.209304,1,1,1,1
"2675",68.368333,25.379167,1,1,1,1
"2676",68.368333,25.379167,1,1,1,1
"2677",68.368333,25.379167,1,1,1,1
"2678",68.368333,25.379167,1,1,1,1
"2679",68.428576,25.386425,1,1,1,1
"2680",68.301399,25.363791,1,1,1,1
"2681",68.443581,25.595779,1,1,1,1
"2682",68.4031,26.238851,1,1,1,1
"2683",68.839821,24.65922,1,1,1,1
"2684",67.923897,24.74798,1,1,1,1
"2685",68.848587,27.6908,1,1,1,1
"2686",68.208122,27.55788,1,1,1,1
"2687",68.403381,26.239479,1,1,1,1
"2688",68.403381,26.239479,1,1,1,1
"2689",68.504444,27.288889,1,1,1,1
"2690",68.098427,26.30732,1,1,1,1
"2691",67.9,27.85,1,1,1,1
"2692",67.769547,26.724409,1,1,1,1
"2693",67.991608,26.6605,1,1,1,1
"2694",68.743559,27.527306,1,1,1,1
"2697",68.097222,27.374722,1,1,1,1
"2741",71.521948,34.730041,3,4,4,4
"2796",70.065163,32.999081,2,3,3,3
"2831",67.018137,30.209304,2,2,2,2
"2862",72.121612,34.000591,1,1,1,1
"2863",72.121612,34.000591,1,1,1,1
"2879",66.995553,30.219438,2,3,5,5
"2963",71.5448,34.004274,1,1,1,1
"2982",71.5448,34.004274,1,1,1,1
"3022",67.018137,30.209304,1,1,1,1
"3023",71.480221,34.567793,2,3,3,3
"3024",71.480221,34.567793,2,3,3,3
"3056",71.464444,33.917778,2,3,5,5
"3070",67.018137,30.209304,2,3,5,5
"3081",67.018137,30.209304,2,3,5,5
"3113",68.216667,28.55,1,1,1,1
"3164",74.301588,31.534001,2,3,5,5
"3165",74.304178,31.434006,2,3,5,5
"3182",67.018137,30.209304,2,3,5,5
"3332",68.098451,26.307306,2,3,5,5
"3346",70.925833,33.815278,1,1,1,1
"3352",67.018137,30.209304,1,1,1,1
"3353",67.015546,30.200795,1,1,1,1
"3354",65.416667,28.583333,2,3,5,5
"3371",66.992893,30.079884,1,1,1,1
"3402",71.480221,34.567793,1,1,1,1
"3409",70.468024,32.413767,2,3,3,3
"3418",70.383326,32.21665,1,1,1,1
"3442",71.480221,34.567793,1,1,1,1
"3486",72.044411,34.198181,1,1,1,1
"3573",71.46229,33.91956,1,1,1,1
"3587",71.477429,34.565494,2,3,5,5
"3682",71.651019,34.119318,1,1,1,1
"3750",67.189449,29.408737,1,1,1,1
"3776",71.287421,34.021103,1,1,1,1
"3783",71.287421,34.021103,1,1,1,1
"3875",72.046816,35.165524,2,3,5,5
"3885",67.031566,30.182091,1,1,1,1
"3886",67.030821,30.189459,1,1,1,1
"3916",71.48759,33.47483,1,1,1,1
"3928",65.418223,28.58229,1,1,1,1
"3952",66.995078,24.850393,2,2,2,2
"3958",66.995823,30.219157,3,4,4,4
"4024",69.001648,28.923448,1,1,1,1
"4038",65.138763,27.407631,2,3,5,5
"4059",72.046816,35.165524,2,3,5,5
"4067",71.26465,34.39907,1,1,1,1
"4104",72.046816,35.165524,2,2,2,2
"4114",72.046816,35.165524,2,3,5,5
"4119",71.544949,34.0042,2,2,2,2
"4163",71.765,35.09,2,3,5,5
"4173",66.933276,30.090268,3,4,4,4
"4275",71.874921,35.19766,2,3,5,5
"4293",67.363186,24.815006,1,1,1,1
"4294",67.363186,24.815006,1,1,1,1
"4331",67.283333,30.1175,2,2,2,2
"4336",71.383333,33.999999,2,2,2,2
"4349",66.945189,30.354275,2,2,2,2
"4376",63.060873,26.00354,2,3,5,5
"4396",67.213067,30.157285,2,2,2,2
"4456",74.111252,32.44548,2,3,3,3
"4473",74.111252,32.44548,1,1,1,1
"4501",67.049304,24.880323,1,1,1,1
"4516",71.999817,34.006649,2,2,2,2
"4518",74.320674,31.533102,2,3,3,3
"4525",71.316111,34.835555,1,1,1,1
"4529",66.945189,30.354275,1,1,1,1
"4565",70.8,33.733333,2,2,2,2
"4581",71.650833,34.940278,1,1,1,1
"4592",70.605556,32.98889,3,4,4,4
"4620",67.084797,24.939894,2,3,5,5
"4644",71.301111,33.646099,1,1,1,1
"4658",71.55,35.31,2,3,3,3
"4686",66.965668,24.947762,1,1,1,1
"4697",67.021955,25.054159,2,3,5,5
"4714",62.3225,25.126389,2,3,3,3
"4716",70.53988,33.348384,3,4,4,4
"4717",72.00237,35.278357,1,1,1,1
"4728",67.036111,24.885833,2,2,2,2
"4825",72.00237,35.278357,1,1,1,1
"4830",71.383252,34.00012,2,3,5,5
"4831",71.14978,34.0989,2,3,5,5
"4839",67.018137,30.209304,2,3,5,5
"4865",71.002222,33.7075,2,3,5,5
"5014",74.320621,31.601849,1,1,1,1
"5015",74.320621,31.601849,1,1,1,1
"5016",71.458023,30.190189,3,4,4,4
"5100",74.255714,31.486251,2,3,5,5
"5101",71.862638,34.864259,2,3,5,5
"5172",71.383252,34.00012,2,3,5,5
"5212",72.375193,32.809399,2,3,5,5
"5235",67.064331,24.92808,1,1,1,1
"5258",71.872616,35.196559,2,3,3,3
"5262",66.59,29.025833,2,3,5,5
"5277",71.480221,34.567793,1,1,1,1
"5281",71.480221,34.567793,1,1,1,1
"5334",71.464444,33.917778,2,2,2,2
"5335",70.9095,31.823759,2,3,5,5
"5345",72.375193,32.809399,2,3,5,5
"5386",66.959444,24.965278,2,3,5,5
"5406",70.851667,33.638056,2,3,5,5
"5473",71.2367,34.3434,2,3,5,5
"5506",73.2,34.333333,2,3,5,5
"5508",72.393265,33.857616,3,4,4,4
"5521",67.018137,30.209304,2,3,5,5
"5530",67.028349,24.893446,1,1,1,1
"5538",69.681944,32.303889,2,3,5,5
"5558",71.14978,34.0989,1,1,1,1
"5608",67.018137,30.209304,1,1,1,1
"5642",71.018793,33.478328,2,3,5,5
"5648",71.685833,34.953611,2,3,3,3
"5649",71.429936,34.856902,2,3,5,5
"5661",71.774167,34.814444,2,3,5,5
"5717",67.666223,29.229304,2,3,5,5
"5718",67.666223,29.229304,2,3,5,5
"5721",67.018137,30.209304,2,3,5,5
"5762",70.024262,32.703582,1,1,1,1
"5802",71.55806,33.794433,1,1,1,1
"5811",64.099996,26.966658,1,1,1,1
"5822",71.853333,34.851944,2,3,5,5
"5823",66.933276,30.090268,2,3,5,5
"5824",66.933276,30.090268,2,3,5,5
"5848",73.043747,33.605801,1,1,1,1
"5860",71.5448,34.004274,3,4,4,4
"5957",71.399933,33.914075,1,1,1,1
"5959",67.018137,30.209304,2,2,2,2
"5993",71.464444,33.917778,1,1,1,1
"6042",71.002222,33.7075,1,1,1,1
"6056",70.100833,33.899167,1,1,1,1
"6118",62.269993,25.673815,2,3,5,5
"6157",71.648611,34.939722,1,1,1,1
"6177",71.274945,34.018381,1,1,1,1
"6192",66.849889,29.800158,3,4,4,4
"6193",67.033351,24.933291,1,1,1,1
"6197",67.033351,24.933291,1,1,1,1
"6211",71.5448,34.004274,1,1,1,1
"6215",71.55806,33.794433,1,1,1,1
"6235",68.216667,28.55,1,1,1,1
"6350",71.660556,35.162778,2,3,5,5
"6379",70.942937,33.756296,1,1,1,1
"6416",71.524444,33.439722,1,1,1,1
"6426",71.474499,33.907874,1,1,1,1
"6551",71.480221,34.567793,2,3,3,3
"6572",71.464444,33.917778,1,1,1,1
"6644",72.362594,34.779498,2,2,2,2
"6690",71.14978,34.0989,1,1,1,1
"6722",73.060547,33.718151,2,2,2,2
"6723",70.871022,33.733414,1,1,1,1
"6724",70.871022,33.733414,1,1,1,1
"6735",71.110179,34.036041,1,1,1,1
"6747",70.100833,33.899167,2,3,5,5
"6754",69.791287,32.523233,2,3,5,5
"6756",67.018137,30.209304,1,1,1,1
"6784",71.55806,33.794433,1,1,1,1
"6787",67.018137,30.209304,2,3,5,5
"6916",74.340683,31.54505,2,3,5,5
"6922",67.018137,30.209304,1,1,1,1
"7052",71.366886,34.345159,1,1,1,1
"7076",72.441667,34.833333,2,3,5,5
"7083",72.441667,34.833333,2,3,5,5
"7158",71.999817,34.006649,1,1,1,1
"7247",72.571718,34.799654,2,3,5,5
"7266",72.615117,34.394322,2,2,2,2
"7300",71.814142,34.960764,2,3,5,5
"7347",67.018137,30.209304,2,3,5,5
"7369",67.033351,24.933291,3,4,4,4
"7370",71.5448,34.004274,3,4,4,4
"7428",69.149945,29.033559,2,2,2,2
"7439",69.570315,32.30469,1,1,1,1
"7450",67.018137,30.209304,2,3,5,5
"7451",67.018137,30.209304,2,3,5,5
"7490",67.021955,25.054159,2,3,5,5
"7504",67.333333,29.866667,2,3,5,5
"7520",67.021955,25.054159,1,1,1,1
"7620",67.083323,24.916672,1,1,1,1
"7622",70.278036,32.970704,1,1,1,1
"7653",71.367317,34.344528,3,4,4,4
"7680",71.486321,33.936477,3,4,4,4
"7704",71.306068,34.012597,2,2,2,2
"7706",67.018137,30.209304,1,1,1,1
"7707",66.966859,24.94971,3,4,4,4
"7712",66.966859,24.94971,1,1,1,1
"7732",73.043747,33.605801,3,4,4,4
"7759",70.914772,32.601768,3,4,4,4
"7764",71.464444,33.917778,1,1,1,1
"7774",70.9095,31.823759,1,1,1,1
"7789",70.9095,31.823759,1,1,1,1
"7804",73.060547,33.718151,1,1,1,1
"7960",74.340683,31.54505,2,2,2,2
"7961",71.561111,33.923611,1,1,1,1
"7977",74.340683,31.54505,2,3,5,5
"7987",70.605556,32.988889,3,4,4,4
"7995",67.033351,24.933291,1,1,1,1
"8006",72.331113,34.95262,1,1,1,1
"8033",71.343536,33.38855,2,3,5,5
"8057",72.362662,34.779483,1,1,1,1
"8113",70.605556,32.988889,3,4,4,4
"8114",71.772627,34.159316,1,1,1,1
"8148",67.200031,24.84997,1,1,1,1
"8167",67.018137,30.209304,2,3,5,5
"8168",67.018137,30.209304,2,3,5,5
"8169",67.018137,30.209304,2,3,5,5
"8194",71.5448,34.004274,3,4,4,4
"8267",71.478739,34.106446,2,3,5,5
"8268",67.200031,24.84997,2,3,5,5
"8269",66.966859,24.94971,2,3,5,5
"8270",71.999817,34.006649,1,1,1,1
"8297",66.966859,24.94971,1,1,1,1
"8326",71.5448,34.004274,3,4,4,4
"8352",71.4,34.321111,1,1,1,1
"8397",71.635014,34.371917,2,2,2,2
"8398",71.5448,34.004274,2,2,2,2
"8399",71.5448,34.004274,2,2,2,2
"8443",66.849889,29.800158,1,1,1,1
"8445",71.464444,33.917778,2,3,5,5
"8482",71.383252,34.00012,1,1,1,1
"8502",66.966097,24.949833,1,1,1,1
"8510",72.516399,34.279967,2,3,5,5
"8522",67.064331,24.92808,1,1,1,1
"8559",71.027506,33.493951,1,1,1,1
"8685",67.0523,24.985008,1,1,1,1
"8699",71.399704,34.321606,1,1,1,1
"8705",67.189207,29.413283,2,3,5,5
"8737",67.015121,30.207454,3,4,4,4
"8738",67.015121,30.207454,3,4,4,4
"8739",67.015121,30.207454,1,1,1,1
"8740",72.363113,34.777434,1,1,1,1
"8766",66.933161,30.090336,2,3,3,3
"8823",69.969686,32.812886,1,1,1,1
"8881",71.461845,33.916298,1,1,1,1
"8882",71.461845,33.916298,1,1,1,1
"8883",71.461845,33.916298,1,1,1,1
"8884",71.461845,33.916298,1,1,1,1
"8954",66.966909,24.950044,2,2,2,2
"8975",66.972973,24.924271,1,1,1,1
"8977",71.502622,33.907715,1,1,1,1
"8997",66.95273,24.973299,2,2,2,2
"9043",71.545244,34.00424,1,1,1,1
"9058",71.540765,34.012327,1,1,1,1
"9076",69.812798,32.34374,2,2,2,2
"9106",67.199737,24.849992,1,1,1,1
"9107",67.199737,24.849992,1,1,1,1
"9128",71.458566,33.985646,1,1,1,1
"9156",69.148801,29.035054,2,2,2,2
"9233",63.466667,25.266667,2,3,5,5
"9253",72.470934,34.105933,2,3,5,5
"9254",67.018173,30.209459,2,3,5,5
"9314",70.135162,33.798152,1,1,1,1
"9331",71.058001,33.534097,3,4,4,4
"9355",70.779198,32.821074,3,4,4,4
"9356",70.779234,32.82147,3,4,4,4
"9400",66.91819,24.867904,1,1,1,6
"9482",70.965883,33.742381,1,1,1,6
"9483",62.040111,26.112903,2,3,3,3
"9534",67.004915,30.189206,1,1,1,6
"9535",67.010752,30.187054,1,1,1,6
"9536",67.024055,30.192173,1,1,1,6
"9550",67.080715,24.825723,1,1,1,6
"9584",72.044411,34.198181,1,1,1,1
"9623",71.0025,33.707778,1,1,1,6
"9626",70.54496,33.370038,3,4,4,4
"9627",70.669266,32.929773,3,4,4,4
"9628",71.002222,33.7075,1,1,1,6
"9652",72.044411,34.198181,3,4,4,4
"9670",66.957103,30.181994,1,1,1,6
"9743",71.54483,34.004324,3,4,4,4
"9745",71.14978,34.0989,2,3,5,5
"9825",71.579072,34.013426,1,1,1,6
"9901",63.143063,25.393661,2,3,5,5
"9960",72.051902,34.115766,2,3,5,5
"9988",67.162636,24.87952,1,1,1,6
"10002",71.477429,34.565494,1,1,1,1
"10003",71.477429,34.565494,1,1,1,1
"10004",71.273333,34.567778,1,1,1,1
"10005",71.477429,34.565494,1,1,1,1
"10027",66.59,29.025833,2,2,2,2
"10043",62.364313,26.111473,2,3,5,5
"10058",67.093003,24.941464,1,1,1,1
"10060",70.889722,33.901111,1,1,1,1
"10127",71.382158,34.003044,1,1,1,1
"10239",70.9095,31.823759,1,1,1,1
"10292",70.512378,33.778532,1,1,1,1
"10301",70.605556,32.988889,3,4,4,4
"10304",66.998333,30.159444,2,2,2,2
"10325",64.739444,28.789167,2,2,2,2
"10327",66.966667,24.95,2,3,5,5
"10432",71.54483,34.004299,3,4,4,4
"10566",68.231735,28.607431,1,1,1,1
"10584",68.253136,28.606226,1,1,1,1
"10714",71.54483,34.004299,2,3,5,5
"10750",71.544035,34.005019,3,4,4,4
"10770",66.961791,24.919917,2,3,3,3
"10772",72.056186,34.350854,3,4,4,4
"10778",67.952363,29.895667,1,1,1,1
"10779",67.952363,29.895667,1,1,1,1
"10780",67.952363,29.895667,1,1,1,1
"10781",67.952363,29.895667,1,1,1,1
"10782",67.952363,29.895667,1,1,1,1
"10783",67.952363,29.895667,1,1,1,1
"10798",69.345116,30.375321,1,1,1,1
"10799",70.464658,32.771985,1,1,1,1
"10844",67.779722,29.774722,1,1,1,1
"10863",71.561111,33.923611,1,1,1,1
"10890",67.129867,24.832234,2,3,3,3
"10927",65.475736,26.098269,2,2,2,2
"10957",70.351944,33.533611,2,3,5,5
"11018",65.416667,28.583333,1,1,1,1
"11020",66.976462,30.184207,2,2,2,2
"11105",68.368333,25.379167,2,2,2,2
"11119",67.028061,24.893379,2,2,2,2
"11191",72.430454,34.809445,1,1,1,1
"11192",71.735939,34.150928,1,1,1,1
"11205",71.383333,34,2,3,5,5
"11297",71.580409,34.004378,3,4,4,4
"11299",66.336894,28.306799,2,2,2,2
"11315",71.544285,34.005427,2,2,2,2
"11316",70.813885,33.732,2,3,5,5
"11372",66.990752,30.07511,1,1,1,1
"11452",63.059063,26.004339,2,3,3,3
"11453",66.905851,30.656963,2,3,5,5
"11461",70.278036,32.970704,1,1,1,1
"11488",64.153747,26.725987,2,2,2,2
"11489",64.412985,28.884512,2,3,5,5
"11506",67.065475,24.944974,1,1,1,1
"11514",66.957537,30.181712,3,4,4,4
"11515",67.014013,30.180822,1,1,1,1
"11517",67.013315,30.188167,1,1,1,1
"11524",67.872307,29.546729,1,1,1,1
"11574",68.085659,27.479987,1,1,1,1
"11589",67.045718,24.962104,1,1,1,1
"11601",66.008751,29.565544,1,1,1,1
"11619",66.96645,24.95011,1,1,1,1
"11629",67.224739,29.926718,2,2,2,2
"11657",72.433105,34.016242,2,3,5,5
"11659",67.024065,24.942581,1,1,1,1
"11660",66.995903,24.869617,1,1,1,1
"11666",67.02413,24.942581,1,1,1,1
"11689",71.433738,33.581733,1,1,1,1
"11690",71.581543,34.049388,1,1,1,1
"11691",72.466629,34.116708,1,1,1,1
"11696",66.925872,24.960149,2,2,2,2
"11754",68.546349,26.028558,1,1,1,1
"11755",68.745865,27.525627,1,1,1,1
"11756",68.430212,26.175332,1,1,1,1
"11757",68.521887,27.350804,1,1,1,1
"11791",69.14378,29.038837,1,1,1,1
"11838",68.54353,28.520665,1,1,1,1
"11850",67.016673,24.853183,1,1,1,1
"11851",66.42715,27.508215,1,1,1,1
"11886",67.129867,24.832234,2,2,2,2
"11912",67.066705,24.916662,1,1,1,1
"11927",67.064331,24.92808,3,4,4,4
"11977",70.14558,32.974638,1,1,1,1
"11978",67.871604,29.548689,2,3,5,5
"12025",70.097065,33.900164,1,1,1,1
"12038",71.788889,35.038889,1,1,1,1
"12052",68.224411,28.497661,1,1,1,1
"12106",71.45771,30.203894,2,2,2,2
"12118",63.059794,26.003644,2,2,2,2
"12188",67.028061,24.893379,1,1,1,1
"12189",67.028061,24.893379,1,1,1,1
"12253",67.002754,30.193805,3,4,4,4
"12611",67.002754,30.193805,1,1,1,1
"12642",71.361051,34.004556,2,3,5,5
"12757",72.684426,34.743111,1,1,1,1
"12769",66.42715,27.508215,2,3,5,5
"12892",70.694618,33.726945,2,3,5,5
"12922",71.529579,33.988349,2,3,5,5
"12962",71.055748,33.533859,2,2,2,2
"12966",66.850306,29.799639,1,1,1,1
"12991",70.166667,33,2,2,2,2
"13014",67.195278,24.893056,2,2,2,2
"13127",71.383333,34,2,3,3,3
"13260",67.00661,30.201452,3,4,4,4
"13261",67.006613,30.201453,3,4,4,4
"13263",67.728027,30.38522,2,3,3,3
"13405",71.558456,33.794329,2,3,3,3
"13424",71.558111,33.79455,2,3,5,5
"13433",71.503744,34.730327,2,3,3,3
"13450",71.521948,34.730041,2,3,3,3
"13452",71.54603,34.004289,3,4,4,4
"13454",67.035899,24.934856,2,2,2,2
"13485",71.228965,34.568578,1,1,1,1
"13486",67.011261,30.203414,1,1,1,1
"13507",74.8312,35.334733,2,3,5,5
"13598",69.164586,29.035359,2,3,5,5
"13599",69.15,29.033333,1,1,1,1
"13609",65.478705,26.098841,1,1,1,1
"13612",71.544285,34.011689,2,3,5,5
"13613",70.6,32.99,2,2,2,2
"13614",67.04484,24.866506,1,1,1,1
"13726",71.553286,33.914019,1,1,1,1
"13728",66.96627,30.177166,3,4,4,4
